productnumber	categorylv1	categorylv2	categorylv3
84450895	Сад	Горшки и садовый декор	Горшки и кашпо для цветов
14275013	Инструменты	Сварочное оборудование	Аксессуары для сварки
83387805	Скобяные изделия	Крепеж	Дюбель-гвозди и дюбель-шурупы
88279467	Освещение	Лампочки	Светодиодные лампы
18784042	Инструменты	Аксессуары для электроинструмента	Аксессуары для шлифования
15409749	Инструменты	Оборудование для мастерской	Аксессуары для компрессоров
13104976	Стройматериалы	Кровля	Поликарбонат
15328762	Сад	Садовый инвентарь	Защита при работе в саду и огороде
81967238	Сад	Товары для полива	Лейки, ведра и баки
82691068	Декор	Оформление окна	Рулонные шторы
11779697	Скобяные изделия	Мебельная фурнитура	Мебельный крепеж
82282980	Плитка	Плитка, керамогранит и мозаика	Керамогранит
82167371	Сад	Садовый инвентарь	Лопаты
18160715	Хранение	Мебель	Вешалки настенные
88311219	Декор	Оформление окна	Готовые шторы и тюли
82017877	Освещение	Освещение жилых помещений	Споты
18833617	Хранение	Мебель	Двери-купе
18743654	Окна и двери	Двери	Накладки и фиксаторы для дверных ручек
81954376	Столярные изделия	Террасная доска и декинг	Террасная доска
82000364	Кухни	Мебель для кухни	Корпуса шкафов для проектных кухонь
17852509	Освещение	Освещение жилых помещений	Люстры
15613791	Сантехника	Душевое оборудование	Лейки для душа
18549309	Электротовары	Кабель и монтаж	Силовые кабели
18837790	Электротовары	Розетки, выключатели и рамки	Рамки для розеток и выключателей
84805367	Напольные покрытия	Ковры и коврики для интерьера	Ковры
15441773	Краски	Инструменты для покраски	Малярные валики, бюгеля и удлинители
83212134	Электротовары	Климатические системы	Вентиляторы
83338997	Инструменты	Аксессуары для электроинструмента	Фрезы по дереву
82402319	Декор	Декор для стен	Картины без рамы
18446801	Декор	Обои для стен и потолка	Обои под покраску
81944643	Скобяные изделия	Крепеж	Дюбель-гвозди и дюбель-шурупы
82905606	Хранение	Ёмкости для хранения	Пластиковые контейнеры и ящики для хранения
82910821	Водоснабжение	Инструменты и аксессуары для труб	Аксессуары для труб
17356396	Электротовары	Розетки, выключатели и рамки	Розетки и выключатели
82800677	Краски	Инструменты для покраски	Малярные валики, бюгеля и удлинители
