productnumber	name	price	quantity	description	specialorder
84450895	Горшок цветочный Сиена ø20.8 h19.7 см v4.2 л керамика цвет белый	5790	8	НЕТ ОПИСАНИЯ	False
14275013	Шланг для газа с соединителями, 3 м	3580	2	Шланг газовый с соединителями, 3 м- гибкая удобная конструкция, используемая при проведении сварочных работ.Преимущества:Купить шланг газовый с соединителями длиной 3 м. вы можете в онлайн-гипермаркете Леруа Мерлен. Для того чтобы найти необходимый вам товар воспользуйтесь удобной системой поиска.	False
83387805	Дюбель с цилиндрическим бортиком Standers PNDS 6х80 мм, с шурупом 4х80 мм, нейлон, 10 шт.	705	72	Дюбель PNDS Standers предназначен для  монтажа в бетонных и других полнотелых поверхностях: кирпичных, каменных, из блоков или плит. Применяется для фиксации элементов каркаса, конструкций или отделки методом сквозного крепления через прикрепляемый материал. Крепеж выдерживает нагрузку до 40 кг. В комплекте 10 дюбелей диаметром 6 мм и длиной 80 мм, а также 10 шурупов размером 4×80 мм. Страна-производитель — Россия.	False
88279467	Лампа светодиодная Gauss E14 170-240 В 5.5 Вт свеча матовая 470 лм, нейтральный белый свет	650	25	Скачать инструкцию Лампа Gauss Свеча светодиодная изготовлена в форме свечи диаметром 37 мм, запитывается от электросети с напряжением 220-240 В. Потребляемая мощность — 5,5 Вт, цоколь — Е14. Светит белым нейтральным цветом (4000 K). Световой поток — 470 лм (норма освещенности на м² помещения — 150-200 лм).Нейтральный (дневной) свет обладает самой точной цветопередачей. Естественный белый свет подходит для гостиных, детских, ванных комнат. Также применяется в помещениях и на рабочих местах, где важно максимально точно передавать цвета.Светодиодные лампы разогреваются меньше остальных (не более 65 °C), поэтому могут использоваться с натяжными потолками и в местах, где возможно прикосновение рукой. Дают ровный свет без мерцания и пульсации.Используя светодиодные лампы, можно осветить площадь большего метража, добиться более яркого освещения и сэкономить электроэнергию. Например, для светильника с максимальной мощностью лампы накаливания в 40 Вт можно выбрать светодиоды, аналогичные лампам накаливания на 60, 75 и более ватт. Их потребляемая мощность будет меньше 40, а световой поток ярче, чем у обычной лампочки.	False
18784042	Листы Dexter для ДШМ 140х98 мм, P80, 5 шт.	1500	12	Листы для дельташлифовальной машины Dexter P80 предназначены для обработки древесины при помощи электроиструмента с подошвой треугольной формы. Позволяют качественно отшлифовывать труднодоступные места (углы, пазы, шипы). В набор входит 5 листов размером 140х98 мм с зернистостью P80 (для первичной шлифовки).	False
15409749	Переходник DexterYMFF, 1/4 дюйма	1850	8	Переходник Y MFF 1/4 дюйма Dexter – это “вилка”, которая используется для соединения различных участков пневмомагистрали в ходе монтажных работ. Крепление происходит при помощи стандартной резьбы 1/4”. Данный соединитель позволяет разбить поток сжатого воздуха на два для подключения сразу нескольких пневмоинструментов к одному компрессору.Преимущества:	False
13104976	Поликарбонат сотовый 6 мм 2.1x3 м прозрачный	30360	20	Сотовый поликарбонат толщиной 6 мм – легкий и практичный материал. Не подвержен влиянию влаги и гниению. Устойчив к низким температурам. Хорошая пластичность позволяет монтировать из листов поликарбоната различные арочные конструкции. Толщина листа в 6 мм выдерживает удары града, ветровую и снеговую нагрузку, поэтому листы пригодны для изготовления навесов, козырьков, павильонов, теплиц, парников, различных перегородок. Поликарбонат оснащен специальным УФ покрытием, которое увеличивает срок службы материала и пропускает только благоприятный для человека и растений спектр солнечного света.Преимущества:	False
15328762	Туфли прогулочные летние размер 40	2490	31	"Легкие лене туфли можно купить для прогулок, походов на пляж, в бассейн или загородных пикников. Туфли 40 размера выполнены из легкого и прочного полимерного материала, они не портятся и не деформируются даже от длительного воздействия воды.
Преимущества:"	False
81967238	Фляга пищевая «Гранде» 100 л, цвет белый	12090	5	Фляга «Гранде» — универсальная пластмассовая емкость объемом 100 л для хранения пищевых продуктов, воды и прочей жидкости. Может использоваться для квашения овощей, засолки мяса и рыбы. Белая фляга бочкообразной формы поделена на секции, усилена ребрами жесткости. Оснащена широкой горловиной, крышкой с выступами для надежного закрывания и язычком для опломбирования. Эргономичные ручки упрощают переноску тары. Страна производства — Россия.	False
82691068	Штора рулонная день-ночь Inspire Peter 80x160 см светло-серая Granit 5	9500	4	Рулонные шторы PETER день-ночь идеально подходят для регулировки интенсивности освещения в комнате. В приподнятом виде они создают приятную атмосферу, пропуская свет, в опущенном — обеспечивают уединение и затемняют помещение. Полотно представлено в нескольких цветах, что позволяет подобрать штору к любому интерьеру.	False
